Time,Angular Velocity
0.000000,0.000000
0.010000,0.010000
0.020000,0.019500
0.030000,0.028525
0.040000,0.037099
0.050000,0.045244
0.060000,0.052982
0.070000,0.060333
0.080000,0.067316
0.090000,0.073950
0.100000,0.080253
0.110000,0.086240
0.120000,0.091928
0.130000,0.097332
0.140000,0.102465
0.150000,0.107342
0.160000,0.111975
0.170000,0.116376
0.180000,0.120557
0.190000,0.124529
0.200000,0.128303
0.210000,0.131888
0.220000,0.135293
0.230000,0.138529
0.240000,0.141602
0.250000,0.144522
0.260000,0.147296
0.270000,0.149931
0.280000,0.152435
0.290000,0.154813
0.300000,0.157072
0.310000,0.159219
0.320000,0.161258
0.330000,0.163195
0.340000,0.165035
0.350000,0.166783
0.360000,0.168444
0.370000,0.170022
0.380000,0.171521
0.390000,0.172945
0.400000,0.174298
0.410000,0.175583
0.420000,0.176804
0.430000,0.177963
0.440000,0.179065
0.450000,0.180112
0.460000,0.181106
0.470000,0.182051
0.480000,0.182948
0.490000,0.183801
0.500000,0.184611
0.510000,0.185380
0.520000,0.186111
0.530000,0.186806
0.540000,0.187466
0.550000,0.188092
0.560000,0.188688
0.570000,0.189253
0.580000,0.189791
0.590000,0.190301
0.600000,0.190786
0.610000,0.191247
0.620000,0.191684
0.630000,0.192100
0.640000,0.192495
0.650000,0.192870
0.660000,0.193227
0.670000,0.193566
0.680000,0.193887
0.690000,0.194193
0.700000,0.194483
0.710000,0.194759
0.720000,0.195021
0.730000,0.195270
0.740000,0.195507
0.750000,0.195731
0.760000,0.195945
0.770000,0.196147
0.780000,0.196340
0.790000,0.196523
0.800000,0.196697
0.810000,0.196862
0.820000,0.197019
0.830000,0.197168
0.840000,0.197310
0.850000,0.197444
0.860000,0.197572
0.870000,0.197693
0.880000,0.197809
0.890000,0.197918
0.900000,0.198022
0.910000,0.198121
0.920000,0.198215
0.930000,0.198304
0.940000,0.198389
0.950000,0.198470
0.960000,0.198546
0.970000,0.198619
0.980000,0.198688
0.990000,0.198754
1.000000,0.198816
1.010000,0.198875
1.020000,0.198931
1.030000,0.198985
1.040000,0.199036
1.050000,0.199084
1.060000,0.199130
1.070000,0.199173
1.080000,0.199214
1.090000,0.199254
1.100000,0.199291
1.110000,0.199326
1.120000,0.199360
1.130000,0.199392
1.140000,0.199423
1.150000,0.199451
1.160000,0.199479
1.170000,0.199505
1.180000,0.199530
1.190000,0.199553
1.200000,0.199576
1.210000,0.199597
1.220000,0.199617
1.230000,0.199636
1.240000,0.199654
1.250000,0.199672
1.260000,0.199688
1.270000,0.199704
1.280000,0.199718
1.290000,0.199732
1.300000,0.199746
1.310000,0.199759
1.320000,0.199771
1.330000,0.199782
1.340000,0.199793
1.350000,0.199803
1.360000,0.199813
1.370000,0.199823
1.380000,0.199831
1.390000,0.199840
1.400000,0.199848
1.410000,0.199855
1.420000,0.199863
1.430000,0.199870
1.440000,0.199876
1.450000,0.199882
1.460000,0.199888
1.470000,0.199894
1.480000,0.199899
1.490000,0.199904
1.500000,0.199909
1.510000,0.199913
1.520000,0.199918
1.530000,0.199922
1.540000,0.199926
1.550000,0.199930
1.560000,0.199933
1.570000,0.199936
1.580000,0.199940
1.590000,0.199943
1.600000,0.199945
1.610000,0.199948
1.620000,0.199951
1.630000,0.199953
1.640000,0.199956
1.650000,0.199958
1.660000,0.199960
1.670000,0.199962
1.680000,0.199964
1.690000,0.199966
1.700000,0.199967
1.710000,0.199969
1.720000,0.199971
1.730000,0.199972
1.740000,0.199973
1.750000,0.199975
1.760000,0.199976
1.770000,0.199977
1.780000,0.199978
1.790000,0.199979
1.800000,0.199980
1.810000,0.199981
1.820000,0.199982
1.830000,0.199983
1.840000,0.199984
1.850000,0.199985
1.860000,0.199986
1.870000,0.199986
1.880000,0.199987
1.890000,0.199988
1.900000,0.199988
1.910000,0.199989
1.920000,0.199989
1.930000,0.199990
1.940000,0.199990
1.950000,0.199991
1.960000,0.199991
1.970000,0.199992
1.980000,0.199992
1.990000,0.199993
2.000000,0.199993
2.010000,0.199993
2.020000,0.199994
2.030000,0.199994
2.040000,0.199994
2.050000,0.199995
2.060000,0.199995
2.070000,0.199995
2.080000,0.199995
2.090000,0.199996
2.100000,0.199996
2.110000,0.199996
2.120000,0.199996
2.130000,0.199996
2.140000,0.199997
2.150000,0.199997
2.160000,0.199997
2.170000,0.199997
2.180000,0.199997
2.190000,0.199997
2.200000,0.199997
2.210000,0.199998
